games,whizzbang_deck_id,final_state,player_class,rank
78,1607,WON,HUNTER,12
150,1828,LOST,HUNTER,8
117,1828,LOST,HUNTER,16
440,1832,LOST,MAGE,5
133,1825,LOST,PALADIN,23
84,1754,LOST,PALADIN,12
23,1825,LOST,PALADIN,3
100,1754,WON,PALADIN,8
108,1825,LOST,PALADIN,8
146,1754,LOST,PALADIN,9
995,1831,LOST,PRIEST,20
44,1830,WON,PRIEST,16
163,1830,LOST,PRIEST,13
70,1831,WON,PRIEST,25
16,1820,WON,ROGUE,11
185,1820,LOST,ROGUE,23
79,1821,LOST,ROGUE,4
1009,1826,LOST,SHAMAN,20
395,1826,LOST,SHAMAN,10
356,1819,LOST,WARLOCK,15
309,1760,WON,WARRIOR,5
13,1760,LOST,WARRIOR,0
103,1821,LOST,ROGUE,12
254,1819,LOST,WARLOCK,17
18,1754,WON,PALADIN,3
27,1819,WON,WARLOCK,11
37,1817,WON,WARRIOR,7
21,1827,LOST,SHAMAN,6
67,1828,WON,HUNTER,24
42,1830,WON,PRIEST,8
18,1831,WON,PRIEST,6
47,1606,WON,DRUID,-1
339,1607,WON,HUNTER,15
111,1832,WON,MAGE,13
604,1825,LOST,PALADIN,19
161,1825,WON,PALADIN,21
33,1754,WON,PALADIN,11
100,1754,LOST,PALADIN,16
172,1825,LOST,PALADIN,22
562,1830,LOST,PRIEST,5
357,1831,LOST,PRIEST,10
109,1830,LOST,PRIEST,12
281,1821,LOST,ROGUE,17
102,1820,WON,ROGUE,14
151,1827,LOST,SHAMAN,21
668,1819,WON,WARLOCK,20
71,1606,LOST,DRUID,25
25,1829,LOST,DRUID,6
194,1828,LOST,HUNTER,9
118,1754,WON,PALADIN,24
69,1830,WON,PRIEST,23
45,1830,WON,PRIEST,24
60,1826,WON,SHAMAN,8
42,1826,WON,SHAMAN,16
13,1825,WON,PALADIN,3
7,1826,WON,SHAMAN,3
4,1760,LOST,WARRIOR,2
7,1829,WON,DRUID,0
15,1606,WON,DRUID,0
2,1606,WON,DRUID,2
286,1829,LOST,DRUID,17
438,1829,LOST,DRUID,18
295,1606,LOST,DRUID,17
78,1828,WON,HUNTER,13
179,1607,LOST,HUNTER,14
88,1832,LOST,MAGE,25
91,1825,LOST,PALADIN,4
76,1831,WON,PRIEST,13
41,1820,WON,ROGUE,12
34,1820,WON,ROGUE,4
376,1827,LOST,SHAMAN,15
150,1818,WON,WARLOCK,21
98,1818,LOST,WARLOCK,24
473,1817,LOST,WARRIOR,5
194,1817,WON,WARRIOR,17
99,1817,LOST,WARRIOR,12
83,1760,LOST,WARRIOR,16
24,1760,WON,WARRIOR,6
119,1760,LOST,WARRIOR,8
148,1760,WON,WARRIOR,14
98,1606,LOST,DRUID,12
97,1825,WON,PALADIN,13
155,1817,LOST,WARRIOR,13
54,1832,WON,MAGE,-1
14,1609,WON,MAGE,6
22,1606,WON,DRUID,11
2,1832,WON,MAGE,2
523,1829,LOST,DRUID,5
86,1829,LOST,DRUID,12
105,1829,WON,DRUID,23
186,1606,WON,DRUID,10
75,1828,LOST,HUNTER,7
201,1832,LOST,MAGE,14
359,1825,WON,PALADIN,18
82,1825,LOST,PALADIN,7
244,1830,LOST,PRIEST,21
101,1830,LOST,PRIEST,-1
260,1831,WON,PRIEST,18
56,1827,WON,SHAMAN,12
673,1818,LOST,WARLOCK,19
133,1818,LOST,WARLOCK,16
285,1818,LOST,WARLOCK,10
142,1818,LOST,WARLOCK,8
49,1754,LOST,PALADIN,-1
46,1825,WON,PALADIN,4
118,1827,WON,SHAMAN,9
85,1826,LOST,SHAMAN,7
148,1760,LOST,WARRIOR,22
8,1754,LOST,PALADIN,2
24,1818,WON,WARLOCK,11
22,1818,LOST,WARLOCK,3
13,1760,WON,WARRIOR,3
1,1821,WON,ROGUE,1
1,1826,LOST,SHAMAN,1
25,1606,LOST,DRUID,3
149,1606,LOST,DRUID,8
155,1829,WON,DRUID,21
467,1828,LOST,HUNTER,18
91,1828,LOST,HUNTER,4
299,1825,LOST,PALADIN,10
83,1825,WON,PALADIN,24
385,1754,LOST,PALADIN,5
151,1754,WON,PALADIN,23
305,1825,LOST,PALADIN,17
549,1831,LOST,PRIEST,18
91,1831,LOST,PRIEST,4
347,1831,LOST,PRIEST,17
210,1830,WON,PRIEST,18
476,1820,WON,ROGUE,20
179,1820,LOST,ROGUE,9
496,1826,LOST,SHAMAN,15
70,1826,WON,SHAMAN,9
94,1826,WON,SHAMAN,22
132,1827,WON,SHAMAN,14
119,1819,LOST,WARLOCK,13
712,1817,LOST,WARRIOR,19
60,1760,LOST,WARRIOR,-1
64,1817,WON,WARRIOR,25
129,1817,LOST,WARRIOR,16
69,1820,WON,ROGUE,16
22,1817,LOST,WARRIOR,3
13,1818,WON,WARLOCK,0
27,1825,WON,PALADIN,11
1,1818,WON,WARLOCK,2
490,1606,LOST,DRUID,5
85,1829,LOST,DRUID,4
725,1609,LOST,MAGE,20
662,1832,LOST,MAGE,19
142,1832,LOST,MAGE,23
123,1832,LOST,MAGE,8
84,1609,WON,MAGE,25
217,1821,LOST,ROGUE,14
18,1821,LOST,ROGUE,6
319,1827,WON,SHAMAN,5
785,1818,LOST,WARLOCK,20
337,1818,LOST,WARLOCK,17
65,1819,LOST,WARLOCK,25
502,1760,WON,WARRIOR,19
158,1760,LOST,WARRIOR,9
94,1607,WON,HUNTER,25
32,1832,WON,MAGE,11
19,1832,LOST,MAGE,3
1,1826,WON,SHAMAN,0
3,1819,WON,WARLOCK,2
1,1820,LOST,ROGUE,1
192,1606,WON,DRUID,17
355,1829,WON,DRUID,18
354,1606,WON,DRUID,18
198,1829,WON,DRUID,17
188,1829,WON,DRUID,10
134,1607,WON,HUNTER,23
735,1832,LOST,MAGE,20
75,1832,WON,MAGE,25
93,1609,WON,MAGE,8
3,1825,LOST,PALADIN,2
108,1821,LOST,ROGUE,8
102,1821,LOST,ROGUE,16
111,1827,WON,SHAMAN,13
243,1826,LOST,SHAMAN,14
99,1818,WON,WARLOCK,23
20,1819,LOST,WARLOCK,6
95,1818,LOST,WARLOCK,12
171,1819,LOST,WARLOCK,14
275,1760,LOST,WARRIOR,17
102,1817,WON,WARRIOR,13
301,1760,LOST,WARRIOR,15
91,1760,WON,WARRIOR,8
23,1607,LOST,HUNTER,11
64,1827,LOST,SHAMAN,7
54,1829,WON,DRUID,4
59,1606,WON,DRUID,12
25,1831,WON,PRIEST,7
31,1821,LOST,ROGUE,3
80,1818,WON,WARLOCK,24
22,1607,WON,HUNTER,3
32,1760,WON,WARRIOR,11
17,1820,LOST,ROGUE,6
